gender	nationality	main_crime_age	criminal_records	main_crime_category	main_crime_is_violent	risk01_previous_violence	risk02_history_nonviolent_offences	risk03_early_violence_before_14	risk04_past_intervention_fail	risk05_self_harm_suicide_attempts	risk06_violence_at_home	risk07_childhood_mistreatment	risk08_criminal_parent_caregiver	risk09_early_separation_parents	risk10_poor_school_achievement	risk11_delinquency_peer_group	risk12_rejection_peer_group	risk13_poor_stress_coping	risk14_poor_parental_skills_parents	risk15_lack_of_personal_social_support	risk16_marginalized_environment	risk17_negative_attitudes	risk18_risk_taker_impulsive	risk19_drug_abuse	risk20_anger_management_issues	risk21_low_empaty	risk22_attention_deficit	risk23_poor_compliance_interventions	risk24_low_commitment_school	protective01_prosocial_activities	protective02_strong_social_support	protective03_strong_link_prosocial_adult	protective04_positive_attitude_interventions	protective05_high_commitment_school_or_work	protective06_perseverant_personality	average_01_antisocial	average_02_family	average_03_personality	average_04_social_support	average_05_susceptibility_treatment	sum_historic_risk_items	sum_social_risk_items	sum_individual_risk_items	sum_all_risk_items	sum_all_protective_items	professional_risk_evaluation	recidivism	recidivism_number_offences	recidividm_category_first_offence	recidivism_violence_first_offence	recidivism_severity
Male	Spanish	17	1 or 2 criminal records	Nonviolent against property	No violent	Moderate	Moderate	Low	Low	Low	Low	Low	Low	High	Low	Low	Low	Low	High	Low	Moderate	Low	Moderate	Moderate	High	Low	Moderate	Low	Low	Present	Present	Absent	Present	Present	Present	0.428571428571429	0.5	0.571428571428571	0.8	0	4	3	5	12	1	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	3 to 5 criminal records	Against persons	Violent	Moderate	Moderate	Low	Moderate	Low	Moderate	Moderate	Low	High	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Low	Moderate	Moderate	Absent	Absent	Absent	Present	Absent	Present	0.714285714285714	1	0.571428571428571	1	0.714285714285714	8	5	6	19	4	Moderate	Yes	1	Others	No violent	1	
Male	Foreigner	16	1 or 2 criminal records	Nonviolent against property	No violent	Low	Low	Low	Low	Low	Moderate	Low	Low	High	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Low	Low	Moderate	Low	Low	Low	Low	Low	Low	Absent	Absent	Absent	Present	Present	Present	0.142857142857143	0.75	0.285714285714286	0.8	0.285714285714286	4	4	1	9	3	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	0 criminal records	Against persons	Violent	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	High	Low	Low	Moderate	Low	Low	Low	Moderate	Low	Low	Low	Moderate	Low	Moderate	High	Absent	Present	Present	Present	Absent	Present	0	0.25	0.428571428571429	0	1	3	1	5	9	2	High	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	3 to 5 criminal records	Nonviolent against property	No violent	Moderate	Moderate	Low	Low	Low	Low	Moderate	High	High	High	Low	Low	Low	Moderate	Moderate	Low	Low	Low	Low	Low	Moderate	Low	Moderate	Low	Present	Present	Present	Present	Present	Present	0.285714285714286	1.25	0.142857142857143	0.4	0.428571428571429	9	2	2	13	0	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	14	1 or 2 criminal records	Violent against property	Violent	Moderate	Moderate	Moderate	Low	Low	Moderate	High	High	Low	High	High	Low	Moderate	Moderate	Moderate	Low	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Absent	Present	Present	Present	Absent	Absent	0.857142857142857	1.25	0.714285714285714	0.4	0.857142857142857	10	5	6	21	3	High	No	0	Not applicable	Not applicable	0	
Male	Spanish	14	3 to 5 criminal records	Against persons	Violent	High	Moderate	Low	Moderate	Low	Moderate	Moderate	Low	Low	High	Moderate	Low	High	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Low	Absent	Present	Present	Absent	Present	Present	0.857142857142857	0.5	0.857142857142857	0.8	0.714285714285714	8	7	6	21	2	Moderate	No	0	Not applicable	Not applicable	0	
Female	Spanish	16	0 criminal records	Violent against property	Violent	Moderate	Low	Low	Low	Moderate	Low	Low	Low	Low	High	Low	Low	Low	Moderate	Low	Moderate	Low	Moderate	High	Low	Low	Moderate	Low	Low	Absent	Present	Present	Present	Present	Absent	0.571428571428571	0	0.285714285714286	0.4	0.571428571428571	4	2	4	10	2	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	14	1 or 2 criminal records	Against persons	Violent	High	High	High	High	Moderate	Low	Low	Low	Low	High	Moderate	Moderate	High	High	Low	Low	High	Low	Low	High	High	Moderate	Low	High	Absent	Present	Present	Present	Absent	Present	1.42857142857143	0	1.42857142857143	0.4	0.857142857142857	11	6	9	26	2	Moderate	Yes	1	Others	No violent	0	
Male	Foreigner	17	More than 5 criminal records	Violent against property	Violent	Moderate	High	Moderate	High	Low	Low	Low	Low	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	High	Moderate	Moderate	High	High	High	High	Absent	Present	Absent	Absent	Absent	Absent	1.14285714285714	0.25	1.42857142857143	0.6	1.42857142857143	9	5	13	27	5	High	Yes	3	Nonviolent against property	No violent	3	
